Call Type Group,Neighborhooods,Avg. Recieving Call to Hospital
Alarm,Chinatown,85.714285714
Alarm,Castro-Upper Market,91
Alarm,Bernal Heights,53.666666667
Alarm,Bayview Hunters Point,60.636363636
Null,Western Addition,43.1
Null,West of Twin Peaks,47.3125
Null,Visitacion Valley,46.777777778
Null,Twin Peaks,54
Null,Treasure Island,64.666666667
Null,Tenderloin,40.212121212
Null,Sunset-Parkside,49.074074074
Null,South of Market,40.068493151
Null,Seacliff,48
Null,Russian Hill,52.5
Null,Presidio Heights,45.2
Null,Presidio,54.333333333
Null,Potrero Hill,40.7
Null,Portola,54
Null,Pacific Heights,50.181818182
Null,Outer Richmond,48
Null,Outer Mission,48.333333333
Null,Oceanview-Merced-Ingleside,52.454545455
Null,North Beach,52.466666667
Null,Noe Valley,43.5
Null,Nob Hill,40.933333333
Null,Mission Bay,53
Null,Mission,44.239130435
Null,Marina,42.571428571
Null,Lone Mountain-USF,33.538461538
Null,Lakeshore,56.444444444
Null,Japantown,42.444444444
Null,Inner Sunset,44.916666667
Null,Inner Richmond,42.714285714
Null,Hayes Valley,34.1875
Null,Haight Ashbury,38.625
Null,Golden Gate Park
Null,Glen Park,31.333333333
Null,Financial District-South Beach,45.653846154
Null,Excelsior,46.214285714
Null,Chinatown,41.75
Null,Castro-Upper Market,43
Null,Bernal Heights,46.636363636
Null,Bayview Hunters Point,48.955555556
