Neighborhood,Year,Alarm,Fire,Potentially Life-Threatening,Non Life-threatening
South of Market,2012,4.32012454,5.336437718,5.726377071,10
Presidio Heights,2013,4.568627451,6.756097561,5.735598227,7.730310263
Golden Gate Park,2013,5.691860465,5.907692308,5.741007194,8.730077121
Inner Sunset,2017,5.381139489,7.146341463,5.741474147,8.378548896
Inner Sunset,2012,5.590405904,8.072874494,5.759310345,9
Pacific Heights,2018,4.060696517,4.858490566,5.759364359,8.570676032
Inner Sunset,2018,5.353862213,12.69230769,5.764173703,8
Presidio Heights,2016,4.42019544,4,5.780927835,8.776497696
Tenderloin,2014,4.130859375,7.153203343,5.788334784,10
Lone Mountain/USF,2018,4.563994374,5.072727273,5.793953858,8.289
Chinatown,2012,3.960441582,5.891089109,5.804417855,9
Golden Gate Park,2018,5.792307692,9.645714286,5.810810811,9
Financial District/South Beach,2013,4.864556667,6.634234234,5.813923348,10
Noe Valley,2016,4.355696203,8.141304348,5.827956989,8.170212766
Russian Hill,2017,4.655412115,8.245098039,5.841959972,8.960900474
Hayes Valley,2016,4.075822604,6.25,5.863210943,8.86878882
Pacific Heights,2019,4.164885496,5.260869565,5.868882733,8.82734375
South of Market,2017,4.486421081,5.648734177,5.869843158,10
Potrero Hill,2017,5.176141659,5.421348315,5.874332848,9.492227979
Japantown,2018,4.288503254,5.315789474,5.892098556,9.020661157
Golden Gate Park,2016,5.595041322,6.009259259,5.897119342,8.903448276
Lone Mountain/USF,2019,4.387862797,9.489583333,5.897845172,8.68
South of Market,2018,4.573289902,5.412398922,5.898717857,11
Russian Hill,2019,4.782841823,7.388235294,5.898943197,10
Outer Richmond,2013,5.0042123,8.731060606,5.902397839,9
Potrero Hill,2018,5.245873154,7.170212766,5.904090268,10
Lone Mountain/USF,2016,4.871473354,23,5.90652819,8
Western Addition,2018,4.278468424,6.746192893,5.918838592,10
Golden Gate Park,2012,5.254901961,7.740740741,5.925925926,9
Noe Valley,2013,4.531407035,7.447368421,5.929039301,7.933333333
Hayes Valley,2014,4.41736227,4.584158416,5.932996633,9.450076805
Japantown,2014,4.038229376,3.486486486,5.951932139,9.489038786
Chinatown,2019,4.231223629,5.313953488,5.960174842,10.50844854
Russian Hill,2014,4.515995872,6.962686567,5.960205392,9.769345238
Golden Gate Park,2017,5.338235294,6.726415094,5.970266041,8.811965812
Russian Hill,2012,4.840140023,6.128571429,5.972640219,9
Japantown,2015,4.365044248,4.9,5.980018165,9.574239714
Inner Sunset,2016,5.087557604,5.455882353,5.982425308,9.047953216
Japantown,2016,3.756043956,4.526315789,5.983710407,10.15758755
South of Market,2019,4.54357383,5.208722741,5.98465375,11
Inner Sunset,2019,5.292962357,6.142857143,5.987437186,8.867699642
Inner Sunset,2015,5.25343189,7.279661017,5.990438695,9.083854819
Chinatown,2018,4.067840835,13.53043478,6.001878816,10
Financial District/South Beach,2012,5.089791823,8.598615917,6.012116622,10
Chinatown,2015,3.651766402,9.803149606,6.03672934,11
Chinatown,2017,4.016371078,11.52671756,6.036888889,10
Presidio Heights,2019,4.440233236,5.404761905,6.038271605,9.616387337
Potrero Hill,2019,5.235753318,5.918149466,6.040688576,10
Presidio Heights,2018,4.412356322,11.83076923,6.043589744,9.378136201
Marina,2012,4.808748728,6.075980392,6.044900577,9
North Beach,2013,4.285470085,8.141304348,6.051184433,10
Japantown,2019,4.323412698,4.730769231,6.070160609,9.237947123
Chinatown,2014,4.00067659,3.228571429,6.07046332,10.11931818
Presidio Heights,2017,4.697456493,4.179487179,6.072551391,8.756862745
Mission Bay,2013,4.55017301,5.720720721,6.087668593,9.544378698
Noe Valley,2018,4.507211538,5.617021277,6.097067745,8.234375
Noe Valley,2015,4.805555556,7.813559322,6.100762066,8.80776699
South of Market,2016,4.376538361,6.012738854,6.102875251,11
Mission Bay,2018,4.730916031,4.862385321,6.104166667,11.40240518
Outer Mission,2013,4.796812749,6.742857143,6.10522918,8.692579505
West of Twin Peaks,2017,5.343003413,6.443478261,6.105938416,8.781778104
Outer Richmond,2017,5.238596491,9.309815951,6.117257968,9
Potrero Hill,2013,4.815642458,7.445283019,6.118918919,9
South of Market,2015,4.291472443,5.179310345,6.120513212,11
Presidio Heights,2014,4.393739703,6.108433735,6.130674003,8.388888889
South of Market,2014,4.330155544,5.045977011,6.150980392,11
Outer Mission,2018,4.661971831,7.918367347,6.152622275,9
Outer Mission,2017,4.830630631,6.276422764,6.175438596,9.201195219
Seacliff,2017,5.503267974,8.125,6.176056338,9
Chinatown,2016,3.699795779,5.104761905,6.18974359,9.95572666
Marina,2016,4.682634731,6.036144578,6.194366197,10
Outer Richmond,2012,5.346743295,9.069192751,6.195394278,9
Outer Mission,2012,4.887019231,5.850746269,6.196668802,9.13732834
West of Twin Peaks,2013,5.13618677,6.714285714,6.201210287,9
Financial District/South Beach,2017,5.262548263,5.972332016,6.201408451,11
Mission Bay,2017,4.823076923,5.5,6.203735144,11.02383222
Marina,2015,4.442700157,8.026455026,6.203828829,9
Potrero Hill,2016,4.959885387,6.356481481,6.204761905,10
Noe Valley,2014,4.6953125,4.276595745,6.22364532,8.681724846
Golden Gate Park,2015,6.277108434,7.009009009,6.224464061,9.346437346
Potrero Hill,2015,5.208971554,5.344444444,6.237447208,10
North Beach,2018,4.564007421,7.096069869,6.247626582,11
Marina,2019,4.672657952,7.993288591,6.254922831,10
Excelsior,2013,5.191653787,7.436708861,6.263071223,10
Outer Richmond,2018,5.04818384,6.848623853,6.263670412,10
Bernal Heights,2013,5.29876161,6.25,6.268574573,9.101431981
Noe Valley,2012,5.25588697,7.208450704,6.275219298,8
Outer Richmond,2016,4.965668371,10.18820225,6.275565467,10
Presidio Heights,2015,4.92248062,4.166666667,6.279411765,9.169265033
Inner Sunset,2014,5.276666667,6.720930233,6.282083075,8.863141524
Potrero Hill,2012,5.315263909,7.359116022,6.311161218,10
Excelsior,2018,5.246596067,8.222222222,6.312943562,9.748271093
Bernal Heights,2017,5.756756757,5.992907801,6.317908376,9.696508505
Financial District/South Beach,2019,5.047267997,7.186619718,6.321774092,11
North Beach,2017,4.790893761,5.714285714,6.328125,11.19135365
Potrero Hill,2014,4.982476636,6.757446809,6.328891258,9
Golden Gate Park,2019,5.555555556,6.485981308,6.335793358,8.952380952
Lincoln Park,2014,7.393939394,10.07407407,6.346938776,9.814814815
North Beach,2012,5.036381514,18.79768786,6.359649123,11
Lincoln Park,2015,5.86440678,17.56363636,6.363636364,10.63636364
Marina,2014,4.533678756,6.131979695,6.3647343,10
